"cv_mean","cv_std","min_taken","best_iteration","eta","max_depth","min_child_weight","gamma","subsample","colsample_bytree","alpha"
1160.1424132581,8.6522119971813,28.1138344327609,1995,0.3,2,1,0,1,1,0
1157.0360336342,6.23719792898426,11.3356791814168,538,0.3,3,1,0,1,1,0
1160.04243021484,9.42259275702373,8.55961784919103,299,0.3,4,1,0,1,1,0
1162.18890330704,7.71536641645582,5.26972853342692,97,0.3,6,1,0,1,1,0
1170.88838656333,4.70506987594746,4.6202667315801,46,0.3,8,1,0,1,1,0
1181.50257533855,5.79529107419661,4.90894306898117,28,0.3,10,1,0,1,1,0
1162.75860994296,6.86330050634414,21.2560373663902,1461,0.3,2,2,0,1,1,0
1157.45631230108,6.08449637044337,10.5157912174861,495,0.3,3,2,0,1,1,0
1159.70870239275,8.81723388125083,7.13073360125224,242,0.3,4,2,0,1,1,0
1161.27463355001,6.61428648900423,4.69767091671626,82,0.3,6,2,0,1,1,0
1171.62485538401,4.60443401873851,4.97199716567993,48,0.3,8,2,0,1,1,0
1181.20744584964,7.27597279001989,5.0377787510554,28,0.3,10,2,0,1,1,0
1162.57066508673,7.24695002523231,20.7661912520727,1415,0.3,2,3,0,1,1,0
1156.3032463048,7.21866906211528,13.8029420812925,668,0.3,3,3,0,1,1,0
1158.63232556263,8.79470357424364,8.87245893478394,316,0.3,4,3,0,1,1,0
1162.56885829815,5.12140265271216,5.35167740186056,95,0.3,6,3,0,1,1,0
1169.58910755527,6.91255200307582,5.02627871433894,48,0.3,8,3,0,1,1,0
1178.87829691167,6.71127825455518,5.24034485022227,28,0.3,10,3,0,1,1,0
1157.0360336342,6.23719792898426,9.07583288351695,538,0.3,3,1,0,1,1,0
1156.32307501043,6.20102097699403,10.4398492177327,566,0.3,3,1,0.2,1,1,0
1159.40837422113,5.10103100336804,9.89457233349482,521,0.3,3,1,0.4,1,1,0
1159.14954329096,5.77086116464555,8.67351073424021,434,0.3,3,1,0.6,1,1,0
1161.96237852149,5.18261307200374,7.03770688374837,326,0.3,3,1,0.8,1,1,0
1162.79529691681,6.07054201548533,6.57399193445842,310,0.3,3,1,1,1,1,0
1168.38743744042,7.4762363513269,4.26763651768367,347,0.3,3,1,0.2,0.6,0.5,0
1165.65438553176,8.39027445119874,7.19997581640879,539,0.3,3,1,0.2,0.7,0.5,0
1163.82631727348,8.19458926484621,8.89133703311284,687,0.3,3,1,0.2,0.8,0.5,0
1161.47698136588,7.92651361662316,9.31574473381042,614,0.3,3,1,0.2,0.9,0.5,0
1167.48637845998,7.02783673009713,6.25426363150279,375,0.3,3,1,0.2,0.6,0.6,0
1164.66886188233,8.50995917382778,7.62132660150528,486,0.3,3,1,0.2,0.7,0.6,0
1163.83216540365,8.55247937109448,8.63322311639786,577,0.3,3,1,0.2,0.8,0.6,0
1160.76549276088,8.82575911923564,11.416396065553,798,0.3,3,1,0.2,0.9,0.6,0
1165.53528236578,8.15364599418433,8.66484184662501,477,0.3,3,1,0.2,0.6,0.7,0
1163.60994537965,9.37166563622196,8.15102473100026,453,0.3,3,1,0.2,0.7,0.7,0
1161.6527570315,10.371327276068,9.03637336492539,526,0.3,3,1,0.2,0.8,0.7,0
1159.7954742736,5.94009983776126,8.21090666850408,485,0.3,3,1,0.2,0.9,0.7,0
1166.17282493565,6.86590443167312,9.319054098924,468,0.3,3,1,0.2,0.6,0.8,0
1163.23415038753,6.61647410157951,8.68763181765874,437,0.3,3,1,0.2,0.7,0.8,0
1163.27847377355,8.80802082817494,8.24416146675746,428,0.3,3,1,0.2,0.8,0.8,0
1159.73229797603,6.22745572404969,11.5789003332456,602,0.3,3,1,0.2,0.9,0.8,0
1164.82582259788,6.04538816953404,8.09788508415222,359,0.3,3,1,0.2,0.6,0.9,0
1163.41648519404,8.05970132667655,11.4646345853806,544,0.3,3,1,0.2,0.7,0.9,0
1160.89063763757,7.77042983222914,10.720383866628,520,0.3,3,1,0.2,0.8,0.9,0
1158.41663245792,6.55877524162644,11.2062895695368,552,0.3,3,1,0.2,0.9,0.9,0
1157.44145739098,7.1922984121677,12.5585552970568,603,0.3,3,1,0.2,1,1,0.01
1158.91129525697,7.84060201003669,13.473339064916,661,0.3,3,1,0.2,1,1,0.1
1154.7850442274,6.30789427387483,15.9052223324776,689,0.3,3,1,0.2,1,1,1
1149.55970239782,6.54958861460142,19.8955192327499,960,0.3,3,1,0.2,1,1,10
1149.96587845786,5.05142946068467,19.5666388988495,968,0.3,3,1,0.2,1,1,15
1146.42521431934,6.75993739437964,137.131508549054,7178,0.03,3,1,0.2,1,1,10
