cv_mean	cv_std	min_taken	cost	gamma
0.63416	NA	3.9343	1	0.01
0.63362	NA	3.7666	1	0.015
0.63362	NA	3.9678	1	0.011
0.63326	NA	3.955	1	0.009
0.63308	NA	3.8783	1	0.012
0.63147	NA	3.756	1	0.02
0.63093	NA	4.6989	100	0.0015
0.63075	NA	4.2985	100	0.001
0.63003	NA	3.846	1	0.03
0.62805	NA	3.9561	100	0.0005
0.6268	NA	4.9176	100	0.002
0.62608	NA	4.186	100	0.00001
0.6259	NA	4.1509	10	0.0001
0.6259	NA	3.9506	1	0.005
0.62572	NA	4.176	1	0.001
0.6241	NA	3.8343	10	0.001
0.62249	NA	3.8224	100	0.0001
0.61961	NA	4.3698	10	0.01
0.58567	NA	9.3924	100	0.01
0.52999	NA	4.5467	1	0.000001
0.52999	NA	4.5736	10	0.000001
0.52999	NA	4.61	100	0.000001
0.52999	NA	4.6117	1	0.00001
0.52999	NA	4.5834	10	0.00001
0.52999	NA	4.5828	1	0.0001
0.52999	NA	3.6617	1	0
0.52972	0.00037386	11.399	1	2
0.52954	0.00031107	16.559	10	2
0.52954	0.00031107	16.592	100	2
0.52905	0.001417	14.305	10	1
0.52896	0.00082139	11.869	1	1
0.52887	0.001417	14.287	100	1
0.6329	    NA	3.9218	1	NA
0.62518	    NA	4.3778	10	NA
0.58639	    NA	8.6833	100	NA
